nombre,telefono,email
Ana Lopez,3514567890,ana@gmail.com
Juan Perez,3515551234,juan_perez88@hotmail.com
Maria Garcia,3514567788,mgarcia@yahoo.com.ar
Carlos Gomez,Desconocido,cgomez@empresa.com
Laura Mendez,Desconocido,laura@mail.com
Sofia Martinez,3512223344,sofia.m@gmail.com
Pedro Alvarez,3514445555,p.alvarez@outlook.com
Lucia Torres,3511112222,lutorres@gmail.com
Marta Sanchez,3519998888,marta.sanchez@uol.com.br
Jorge Rodriguez,3514441111,jrodriguez@gmail.com
Elena Paz,3515550000,epaz@proyectos.org
Ricardo Fort,3510001122,ricky@gmail.com
Beatriz Pinzon,3519990000,b.pinzon@eco-moda.com
Fede Tolosa,3514545454,federico@tolosa.com.ar
Esteban Quito,Desconocido,equito@gmail.com
Valentina Flores,3517776655,vflores@gmail.com
Monica Galindo,3512221111,moni.g@hotmail.com
Gustavo Cerati,3514440000,soda@stereo.com
Mariana Enríquez,3516663333,m.enriquez@letras.ar
